study	submitted_id	internal_lib_name	genome_acc	wgs_acc	biosample	ncbi_taxonomy
PRJNA1071982	MFD03400_ilm_asm_bin14	LIB-MJ105-F9_01.14	GCA_049641605.1	JBAPPH000000000	SAMN40007915	Candidatus Acidiferrum sp.
PRJNA1071982	MFD03323_ilm_asm_bin50	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.50	GCA_049641615.1	JBAPOV000000000	SAMN40007927	Candidatus Acidiferrum sp.
PRJNA1071982	MFD01221_ilm_asm_bin33	LIB-MJ106-F9_01_v_LIB-MJ368-F9_04.33	GCA_049641585.1	JBAPNW000000000	SAMN40007952	Candidatus Acidiferrum sp.
PRJNA1071982	MFD13499_ilm_asm_bin12	LIB-MJ390-D5_03.12	GCA_049644365.1	JBARRT000000000	SAMN40011890	Candidatus Acidiferrum sp.
PRJNA1071982	MFD10871_ilm_asm_bin39	LIB-MJ390-F2_03.39	GCA_049643225.1	JBARPP000000000	SAMN40011946	Candidatus Acidiferrum sp.
PRJNA1071982	MFD13511_ilm_asm_bin5	LIB-MJ414-H11_03.5	GCA_049660885.1	JBASRF000000000	SAMN40012607	Candidatus Acidiferrum sp.
PRJNA1071982	MFD05793_ilm_asm_bin30	LIB-MJ354-A4_04_v_LIB-MJ367-A4_04.30	GCA_049787075.1	JBAQYP000000000	SAMN40011189	Candidatus Acidiferrum sp.
PRJNA1071982	MFD06536_ilm_asm_bin41	LIB-MJ347-B1_04_v_LIB-MJ402-G6_04.41	GCA_049794595.1	JBARCY000000000	SAMN40011075	Candidatus Acidiferrum sp.
PRJNA1071982	MFD05826_ilm_asm_bin11	LIB-MJ352-C12_03_v_LIB-MJ368-C12_01.11	GCA_049793655.1	JBARCB000000000	SAMN40011098	Candidatus Acidiferrum sp.
PRJNA1071982	MFD03295_ilm_asm_bin3	LIB-MJ352-A8_03.3	GCA_049793935.1	JBARCI000000000	SAMN40011091	Candidatus Acidiferrum sp.
PRJNA1071982	MFD05764_ilm_asm_bin369	LIB-MJ352-E7_03_v_LIB-MJ368-E7_01.369	GCA_049792735.1	JBARBE000000000	SAMN40011121	Candidatus Acidiferrum sp.
PRJNA1071982	MFD09930_ilm_asm_bin5	LIB-MJ353-B10_03_v_LIB-MJ407-H4_04.5	GCA_049791195.1	JBAQZS000000000	SAMN40011160	Candidatus Acidiferrum sp.
PRJNA1071982	MFD10760_ilm_asm_bin36	LIB-MJ353-A2_03_v_LIB-MJ367-A2_03.36	GCA_049791355.1	JBAQZW000000000	SAMN40011155	Candidatus Acidiferrum sp.
PRJNA1071982	MFD10754_ilm_asm_bin36	LIB-MJ352-F6_03_v_LIB-MJ368-F6_01.36	GCA_049792295.1	JBARAT000000000	SAMN40011132	Candidatus Acidiferrum sp.
PRJNA1071982	MFD06091_ilm_asm_bin44	LIB-MJ339-C7_03.44	GCA_049801415.1	JBARKM000000000	SAMN40010879	Candidatus Acidiferrum sp.
PRJNA1071982	MFD06650_ilm_asm_bin17	LIB-MJ339-H11_03_v_LIB-MJ405-E5_01.17	GCA_049800195.1	JBARJI000000000	SAMN40010909	Candidatus Acidiferrum sp.
PRJNA1071982	MFD06586_ilm_asm_bin7	LIB-MJ339-G9_03.7	GCA_049800235.1	JBARJK000000000	SAMN40010907	Candidatus Acidiferrum sp.
PRJNA1071982	MFD06628_ilm_asm_bin13	LIB-MJ339-E9_03_v_LIB-MJ405-C4_01.13	GCA_049800405.1	JBARJS000000000	SAMN40010899	Candidatus Acidiferrum sp.
PRJNA1071982	MFD09567_ilm_asm_bin45	LIB-MJ231-B7_04.45	GCA_049803295.1	JBAVBK000000000	SAMN40009302	Candidatus Acidiferrum sp.
PRJNA1071982	MFD05810_ilm_asm_bin6	LIB-MJ231-C6_04.6	GCA_049803275.1	JBAVBH000000000	SAMN40009305	Candidatus Acidiferrum sp.
PRJNA1071982	MFD10071_ilm_asm_bin33	LIB-MJ250-F11_04_v_LIB-MJ365-F11_03.33	GCA_049803235.1	JBAUZY000000000	SAMN40009338	Candidatus Acidiferrum sp.
PRJNA1071982	MFD09347_ilm_asm_bin25	LIB-MJ256-A8_03.25	GCA_049803215.1	JBAUTR000000000	SAMN40009498	Candidatus Acidiferrum sp.
PRJNA1071982	MFD05778_ilm_asm_bin1	LIB-MJ256-E7_03.1	GCA_049803195.1	JBAUTH000000000	SAMN40009508	Candidatus Acidiferrum sp.
PRJNA1071982	MFD01470_ilm_asm_bin17	LIB-MJ259-D2_04.17	GCA_049803175.1	JBAURL000000000	SAMN40009556	Candidatus Acidiferrum sp.
PRJNA1071982	MFD06118_ilm_asm_bin15	LIB-MJ337-C9_03.15	GCA_049802915.1	JBARNJ000000000	SAMN40010804	Candidatus Acidiferrum sp.
PRJNA1071982	MFD06582_ilm_asm_bin29	LIB-MJ337-H3_03.29	GCA_049802335.1	JBARMG000000000	SAMN40010833	Candidatus Acidiferrum sp.
PRJNA1071982	MFD06483_ilm_asm_bin26	LIB-MJ338-A11_04.26	GCA_049802255.1	JBARMC000000000	SAMN40010837	Candidatus Acidiferrum sp.
PRJNA1071982	MFD06507_ilm_asm_bin28	LIB-MJ341-H7_02_v_LIB-MJ367-H7_04.28	GCA_049798875.1	JBARHD000000000	SAMN40010966	Candidatus Acidiferrum sp.
PRJNA1071982	MFD06470_ilm_asm_bin27	LIB-MJ341-D9_02_v_LIB-MJ406-B4_04.27	GCA_049799435.1	JBARHW000000000	SAMN40010947	Candidatus Acidiferrum sp.
PRJNA1071982	MFD06434_ilm_asm_bin32	LIB-MJ340-C4_01_v_LIB-MJ367-C4_03.32	GCA_049799835.1	JBARIQ000000000	SAMN40010927	Candidatus Acidiferrum sp.
PRJNA1071982	MFD06347_ilm_asm_bin6	LIB-MJ346-D8_02_v_LIB-MJ365-D8_04.6	GCA_049794975.1	JBARDI000000000	SAMN40011065	Candidatus Acidiferrum sp.
PRJNA1071982	MFD06347_ilm_asm_bin17	LIB-MJ346-D8_02_v_LIB-MJ365-D8_04.17	GCA_049795115.1	JBARDM000000000	SAMN40011061	Candidatus Acidiferrum sp.
PRJNA1071982	MFD10621_ilm_asm_bin25	LIB-MJ344-E1_04.25	GCA_049796535.1	JBAREV000000000	SAMN40011026	Candidatus Acidiferrum sp.
PRJNA1071982	MFD09222_ilm_asm_bin31	LIB-MJ259-B6_04.31	GCA_049774505.1	JBAURV000000000	SAMN40009546	Candidatus Acidiferrum sp.
PRJNA1071982	MFD06055_ilm_asm_bin29	LIB-MJ230-C7_03.29	GCA_049774495.1	JBAVCG000000000	SAMN40009280	Candidatus Acidiferrum sp.
PRJNA1071982	MFD12050_ilm_asm_bin17	LIB-MJ335-A5_02.17	GCA_049303335.1	JBAQNA000000000	SAMN40010691	Candidatus Aenigmatarchaeota archaeon
PRJNA1071982	MFD12011_ilm_asm_bin5	LIB-MJ334-C11_01.5	GCA_049299895.1	JBAQYF000000000	SAMN40010399	Candidatus Altiarchaeia archaeon
PRJNA1071982	MFD12939_ilm_asm_bin15	LIB-MJ381-C4_02.15	GCA_049678305.1	JBAUDY000000000	SAMN40011306	Candidatus Aminicenantaceae bacterium
PRJNA1071982	MFD12937_ilm_asm_bin5	LIB-MJ385-A8_04.5	GCA_049674205.1	JBATYS000000000	SAMN40011442	Candidatus Aminicenantaceae bacterium
PRJNA1071982	MFD13432_ilm_asm_bin80	LIB-MJ390-E8_03.80	GCA_049643465.1	JBARQA000000000	SAMN40011935	Candidatus Aminicenantaceae bacterium
PRJNA1071982	MFD13433_ilm_asm_bin3	LIB-MJ390-D8_03.3	GCA_049644025.1	JBARRD000000000	SAMN40011906	Candidatus Aminicenantaceae bacterium
PRJNA1071982	MFD12959_ilm_asm_bin42	LIB-MJ390-D1_03.42	GCA_049644645.1	JBARSH000000000	SAMN40011876	Candidatus Aminicenantaceae bacterium
PRJNA1071982	MFD12958_ilm_asm_bin26	LIB-MJ388-B2_02.26	GCA_049651265.1	JBASBU000000000	SAMN40011628	Candidatus Aminicenantaceae bacterium
PRJNA1071982	MFD09513_ilm_asm_bin8	LIB-MJ354-A7_04_v_LIB-MJ403-A4_03.8	GCA_049682755.1	JBAUIH000000000	SAMN40011193	Candidatus Aminicenantales bacterium
PRJNA1071982	MFD01683_ilm_asm_bin15	LIB-MJ132-B11_03.15	GCA_049697055.1	JBAVVA000000000	SAMN40008428	Candidatus Aminicenantales bacterium
PRJNA1071982	MFD02222_ilm_asm_bin1	LIB-MJ132-F11_03.1	GCA_049696855.1	JBAVUQ000000000	SAMN40008438	Candidatus Aminicenantales bacterium
PRJNA1071982	MFD01647_ilm_asm_bin15	LIB-MJ131-H4_01.15	GCA_049697115.1	JBAVVD000000000	SAMN40008425	Candidatus Aminicenantales bacterium
PRJNA1071982	MFD06995_ilm_asm_bin14	LIB-MJ307-H11_01.14	GCA_049287565.1	JBAQGA000000000	SAMN40010273	Candidatus Aminicenantales bacterium
PRJNA1071982	MFD02947_ilm_asm_bin15	LIB-MJ132-B5_03.15	GCA_049697035.1	JBAVUZ000000000	SAMN40008429	Candidatus Angelobacter sp.
PRJNA1071982	MFD07139_ilm_asm_bin4	LIB-MJ168-G9_02.4	GCA_049688735.1	JBAVLE000000000	SAMN40008684	Candidatus Angelobacter sp.
PRJNA1071982	MFD06577_ilm_asm_bin21	LIB-MJ337-G7_03.21	GCA_049802395.1	JBARMK000000000	SAMN40010829	Candidatus Angelobacter sp.
PRJNA1071982	MFD06411_ilm_asm_bin1	LIB-MJ337-C8_03_v_LIB-MJ404-D5_03.1	GCA_049802955.1	JBARNL000000000	SAMN40010802	Candidatus Angelobacter sp.
PRJNA1071982	MFD02202_ilm_asm_bin3	LIB-MJ134-E11_03.3	GCA_049695515.1	JBAVSI000000000	SAMN40008498	Candidatus Aquilonibacter sp.
PRJNA1071982	MFD10821_ilm_asm_bin13	LIB-MJ380-F1_03.13	GCA_049678885.1	JBAUEZ000000000	SAMN40011279	Candidatus Aquilonibacter sp.
PRJNA1071982	MFD10792_ilm_asm_bin21	LIB-MJ386-C12_04.21	GCA_049672405.1	JBATWC000000000	SAMN40011510	Candidatus Aquilonibacter sp.
PRJNA1071982	MFD06662_ilm_asm_bin5	LIB-MJ341-A11_02_v_LIB-MJ406-G4_04.5	GCA_049799695.1	JBARIJ000000000	SAMN40010934	Candidatus Aquilonibacter sp.
PRJNA1071982	MFD06065_ilm_asm_bin22	LIB-MJ341-G10_02_v_LIB-MJ367-G10_04.22	GCA_049799155.1	JBARHJ000000000	SAMN40010960	Candidatus Aquilonibacter sp.
PRJNA1071982	MFD09819_ilm_asm_bin35	LIB-MJ231-A8_04.35	GCA_049586315.1	JBAVBS000000000	SAMN40009294	Candidatus Aquilonibacter sp.
PRJNA1071982	MFD01703_ilm_asm_bin1	LIB-MJ259-D6_04.1	GCA_049581165.1	JBAURJ000000000	SAMN40009558	Candidatus Aquilonibacter sp.
PRJNA1071982	MFD02239_ilm_asm_bin29	LIB-MJ259-G9_04.29	GCA_049580705.1	JBAUQM000000000	SAMN40009581	Candidatus Aquilonibacter sp.
PRJNA1071982	MFD03878_ilm_asm_bin3	LIB-MJ133-B10_03.3	GCA_049696435.1	JBAVTV000000000	SAMN40008459	Candidatus Aquirickettsiella gammari
PRJNA1071982	MFD03770_ilm_asm_bin4	LIB-MJ147-C12_02.4	GCA_049691255.1	JBAVNQ000000000	SAMN40008620	Candidatus Aquirickettsiella gammari
PRJNA1071982	MFD09765_ilm_asm_bin2	LIB-MJ343-G7_01.2	GCA_049797115.1	JBARFJ000000000	SAMN40011012	Candidatus Aquirickettsiella sp.
PRJNA1071982	MFD04133_ilm_asm_bin2	LIB-MJ089-B2_02.2	GCA_049283295.1	JBAPVR000000000	SAMN40007749	Candidatus Aquirickettsiella sp.
PRJNA1071982	MFD06628_ilm_asm_bin37	LIB-MJ339-E9_03_v_LIB-MJ405-C4_01.37	GCA_049800355.1	JBARJQ000000000	SAMN40010901	Candidatus Babeliaceae bacterium
PRJNA1071982	MFD03092_ilm_asm_bin11	LIB-MJ140-E2_02.11	GCA_049692255.1	JBAVOR000000000	SAMN40008593	Candidatus Babeliales bacterium
PRJNA1071982	MFD02553_ilm_asm_bin1	LIB-MJ140-A12_02.1	GCA_049692855.1	JBAVPH000000000	SAMN40008577	Candidatus Babeliales bacterium
PRJNA1071982	MFD05652_ilm_asm_bin12	LIB-MJ191-G5_04.12	GCA_049590175.1	JBAWCH000000000	SAMN40008873	Candidatus Babeliales bacterium
PRJNA1071982	MFD01591_ilm_asm_bin18	LIB-MJ130-E6_01.18	GCA_049697635.1	JBAVWE000000000	SAMN40008398	Candidatus Bathyarchaeia archaeon
PRJNA1071982	MFD01647_ilm_asm_bin14	LIB-MJ131-H4_01.14	GCA_049697135.1	JBAVVE000000000	SAMN40008424	Candidatus Bathyarchaeia archaeon
PRJNA1071982	MFD03726_ilm_asm_bin6	LIB-MJ135-D8_04.6	GCA_049695135.1	JBAVRQ000000000	SAMN40008516	Candidatus Bathyarchaeia archaeon
PRJNA1071982	MFD12973_ilm_asm_bin19	LIB-MJ383-D3_01.19	GCA_049676905.1	JBAUBP000000000	SAMN40011367	Candidatus Bathyarchaeia archaeon
PRJNA1071982	MFD04381_ilm_asm_bin15	LIB-MJ193-G1_01.15	GCA_049589335.1	JBAWAO000000000	SAMN40008918	Candidatus Bathyarchaeia archaeon
PRJNA1071982	MFD04490_ilm_asm_bin7	LIB-MJ230-B10_03.7	GCA_049586655.1	JBAVCJ000000000	SAMN40009277	Candidatus Bathyarchaeia archaeon
PRJNA1071982	MFD04490_ilm_asm_bin17	LIB-MJ230-B10_03.17	GCA_049586635.1	JBAVCK000000000	SAMN40009276	Candidatus Bathyarchaeia archaeon
PRJNA1071982	MFD00756_ilm_asm_bin5	LIB-MJ106-B9_01.5	GCA_049279615.1	JBAPOL000000000	SAMN40007937	Candidatus Bathyarchaeia archaeon
PRJNA1071982	MFD02341_ilm_asm_bin1	LIB-MJ108-C7_02.1	GCA_049278775.1	JBAPMU000000000	SAMN40007980	Candidatus Bathyarchaeia archaeon
PRJNA1071982	MFD01124_ilm_asm_bin1	LIB-MJ107-A1_02.1	GCA_049279035.1	JBAPNH000000000	SAMN40007967	Candidatus Binataceae bacterium
PRJNA1071982	MFD03323_ilm_asm_bin13	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.13	GCA_049279895.1	JBAPPA000000000	SAMN40007922	Candidatus Binataceae bacterium
PRJNA1071982	MFD01145_ilm_asm_bin37	LIB-MJ091-E5_03.37	GCA_049281755.1	JBAPSR000000000	SAMN40007827	Candidatus Binataceae bacterium
PRJNA1071982	MFD04870_ilm_asm_bin11	LIB-MJ306-F5_01_v_LIB-MJ367-F5_03.11	GCA_049288545.1	JBAQHX000000000	SAMN40010224	Candidatus Binataceae bacterium
PRJNA1071982	MFD01947_ilm_asm_bin65	LIB-MJ259-A2_04.65	GCA_049581525.1	JBAUSC000000000	SAMN40009539	Candidatus Binataceae bacterium
PRJNA1071982	MFD09264_ilm_asm_bin18	LIB-MJ256-B4_03.18	GCA_049582285.1	JBAUTQ000000000	SAMN40009499	Candidatus Binataceae bacterium
PRJNA1071982	MFD09281_ilm_asm_bin19	LIB-MJ250-D5_04_v_LIB-MJ365-D5_03.19	GCA_049585635.1	JBAVAI000000000	SAMN40009330	Candidatus Binataceae bacterium
PRJNA1071982	MFD11004_ilm_asm_bin8	LIB-MJ383-E6_01.8	GCA_049676625.1	JBAUBH000000000	SAMN40011375	Candidatus Binataceae bacterium
PRJNA1071982	MFD10888_ilm_asm_bin16	LIB-MJ383-G7_01.16	GCA_049676145.1	JBAUAX000000000	SAMN40011385	Candidatus Binataceae bacterium
PRJNA1071982	MFD10792_ilm_asm_bin14	LIB-MJ386-C12_04.14	GCA_049672465.1	JBATWE000000000	SAMN40011508	Candidatus Binataceae bacterium
PRJNA1071982	MFD06347_ilm_asm_bin10	LIB-MJ346-D8_02_v_LIB-MJ365-D8_04.10	GCA_049795175.1	JBARDN000000000	SAMN40011060	Candidatus Binataceae bacterium
PRJNA1071982	MFD06171_ilm_asm_bin17	LIB-MJ344-E9_04.17	GCA_049796415.1	JBARES000000000	SAMN40011029	Candidatus Binataceae bacterium
PRJNA1071982	MFD10791_ilm_asm_bin70	LIB-MJ352-G2_03_v_LIB-MJ368-G2_01.70	GCA_049792075.1	JBARAM000000000	SAMN40011139	Candidatus Binataceae bacterium
PRJNA1071982	MFD03268_ilm_asm_bin5	LIB-MJ353-B11_03_v_LIB-MJ407-A5_04.5	GCA_049791175.1	JBAQZQ000000000	SAMN40011162	Candidatus Binataceae bacterium
PRJNA1071982	MFD04452_ilm_asm_bin7	LIB-MJ172-B2_04.7	GCA_049688055.1	JBAVKB000000000	SAMN40008713	Candidatus Binatia bacterium
PRJNA1071982	MFD03092_ilm_asm_bin9	LIB-MJ140-E2_02.9	GCA_049692055.1	JBAVOK000000000	SAMN40008600	Candidatus Binatus sp.
PRJNA1071982	MFD02519_ilm_asm_bin7	LIB-MJ138-C2_03.7	GCA_049694395.1	JBAVQW000000000	SAMN40008536	Candidatus Binatus sp.
PRJNA1071982	MFD01597_ilm_asm_bin8	LIB-MJ129-C9_02.8	GCA_049698295.1	JBAVXJ000000000	SAMN40008367	Candidatus Binatus sp.
PRJNA1071982	MFD04577_ilm_asm_bin9	LIB-MJ389-B5_03.9	GCA_049648945.1	JBARYY000000000	SAMN40011703	Candidatus Binatus sp.
PRJNA1071982	MFD10739_ilm_asm_bin45	LIB-MJ352-F2_03_v_LIB-MJ368-F2_01.45	GCA_049792415.1	JBARAW000000000	SAMN40011129	Candidatus Binatus sp.
PRJNA1071982	MFD10775_ilm_asm_bin21	LIB-MJ353-C1_03_v_LIB-MJ367-C1_03.21	GCA_049790895.1	JBAQZK000000000	SAMN40011168	Candidatus Binatus sp.
PRJNA1071982	MFD06491_ilm_asm_bin8	LIB-MJ340-G7_01.8	GCA_049799735.1	JBARIK000000000	SAMN40010933	Candidatus Binatus sp.
PRJNA1071982	MFD06234_ilm_asm_bin55	LIB-MJ339-C9_03.55	GCA_049800595.1	JBARKC000000000	SAMN40010889	Candidatus Binatus sp.
PRJNA1071982	MFD06495_ilm_asm_bin14	LIB-MJ339-A9_03_v_LIB-MJ405-B4_01.14	GCA_049801595.1	JBARKV000000000	SAMN40010870	Candidatus Binatus sp.
PRJNA1071982	MFD06602_ilm_asm_bin27	LIB-MJ337-C12_03.27	GCA_049803075.1	JBARNR000000000	SAMN40010796	Candidatus Binatus sp.
PRJNA1071982	MFD06632_ilm_asm_bin2	LIB-MJ338-G11_04.2	GCA_049801855.1	JBARLI000000000	SAMN40010857	Candidatus Binatus sp.
PRJNA1071982	MFD06458_ilm_asm_bin8	LIB-MJ337-E7_03_v_LIB-MJ404-A5_03.8	GCA_049802735.1	JBARNA000000000	SAMN40010813	Candidatus Binatus sp.
PRJNA1071982	MFD09567_ilm_asm_bin14	LIB-MJ231-B7_04.14	GCA_049586255.1	JBAVBP000000000	SAMN40009297	Candidatus Binatus sp.
PRJNA1071982	MFD06940_ilm_asm_bin44	LIB-MJ251-C7_04.44	GCA_049584895.1	JBAUYR000000000	SAMN40009368	Candidatus Binatus sp.
PRJNA1071982	MFD09222_ilm_asm_bin58	LIB-MJ259-B6_04.58	GCA_049581305.1	JBAURR000000000	SAMN40009550	Candidatus Binatus sp.
PRJNA1071982	MFD09556_ilm_asm_bin15	LIB-MJ191-B5_04.15	GCA_049590495.1	JBAWCX000000000	SAMN40008857	Candidatus Binatus sp.
PRJNA1071982	MFD04918_ilm_asm_bin16	LIB-MJ190-B4_02_v_LIB-MJ410-B7_02.16	GCA_049591035.1	JBAWEE000000000	SAMN40008824	Candidatus Binatus sp.
PRJNA1071982	MFD04956_ilm_asm_bin31	LIB-MJ195-H1_01_v_LIB-MJ415-F7_04.31	GCA_049580265.1	JBAUPO000000000	SAMN40008981	Candidatus Binatus sp.
PRJNA1071982	MFD02439_ilm_asm_bin27	LIB-MJ217-G1_03_v_LIB-MJ406-G8_04.27	GCA_049577365.1	JBAUJX000000000	SAMN40009128	Candidatus Binatus sp.
PRJNA1071982	MFD05605_ilm_asm_bin10	LIB-MJ174-G5_01.10	GCA_049593155.1	JBAWGT000000000	SAMN40008757	Candidatus Binatus sp.
PRJNA1071982	MFD09291_ilm_asm_bin2	LIB-MJ307-E4_01.2	GCA_049287745.1	JBAQGK000000000	SAMN40010263	Candidatus Binatus sp.
PRJNA1071982	MFD03305_ilm_asm_bin20	LIB-MJ105-A7_01.20	GCA_049280435.1	JBAPQD000000000	SAMN40007893	Candidatus Binatus sp.
PRJNA1071982	MFD01295_ilm_asm_bin22	LIB-MJ090-G9_04.22	GCA_049282515.1	JBAPUE000000000	SAMN40007788	Candidatus Binatus sp.
PRJNA1071982	MFD13425_ilm_asm_bin14	LIB-MJ390-D9_03.14	GCA_049643905.1	JBARQW000000000	SAMN40011913	Candidatus Bipolaricaulia bacterium
PRJNA1071982	MFD10570_ilm_asm_bin26	LIB-MJ334-B4_01.26	GCA_049293955.1	JBAQCD000000000	SAMN40010374	Candidatus Bipolaricaulis anaerobius
PRJNA1071982	MFD13471_ilm_asm_bin59	LIB-MJ413-F9_01.59	GCA_049277655.1	JBASYU000000000	SAMN40012410	Candidatus Brevifilum fermentans
PRJNA1071982	MFD13470_ilm_asm_bin10	LIB-MJ413-G9_01.10	GCA_049275855.1	JBASVI000000000	SAMN40012500	Candidatus Brevifilum fermentans
PRJNA1071982	MFD13466_ilm_asm_bin2	LIB-MJ413-D10_01.2	GCA_049655325.1	JBASJN000000000	SAMN40012190	Candidatus Cloacimonadaceae bacterium
PRJNA1071982	MFD13489_ilm_asm_bin1	LIB-MJ413-D7_01.1	GCA_049654945.1	JBASIU000000000	SAMN40012209	Candidatus Cloacimonas acidaminovorans
PRJNA1071982	MFD13487_ilm_asm_bin9	LIB-MJ413-F7_01.9	GCA_049651525.1	JBASCF000000000	SAMN40012382	Candidatus Cloacimonas acidaminovorans
PRJNA1071982	MFD10460_ilm_asm_bin43	LIB-MJ305-B1_04.43	GCA_049662825.1	JBATCJ000000000	SAMN40009917	Candidatus Competibacter denitrificans
PRJNA1071982	MFD10517_ilm_asm_bin77	LIB-MJ305-E8_04.77	GCA_049291455.1	JBATPL000000000	SAMN40010083	Candidatus Competibacter denitrificans
PRJNA1071982	MFD10496_ilm_asm_bin53	LIB-MJ305-H5_04.53	GCA_049289095.1	JBAQIY000000000	SAMN40010197	Candidatus Competibacter sp.
PRJNA1071982	MFD10475_ilm_asm_bin27	LIB-MJ305-A3_04.27	GCA_049663445.1	JBATDL000000000	SAMN40009889	Candidatus Competibacter sp.
PRJNA1071982	MFD10506_ilm_asm_bin6	LIB-MJ305-B7_04.6	GCA_049662065.1	JBATAX000000000	SAMN40009955	Candidatus Competibacter sp.
PRJNA1071982	MFD13441_ilm_asm_bin5	LIB-MJ390-D7_03.5	GCA_049644185.1	JBARRK000000000	SAMN40011899	Candidatus Competibacter sp.
PRJNA1071982	MFD10466_ilm_asm_bin3	LIB-MJ410-C11_02.3	GCA_049641825.1	JBARNY000000000	SAMN40011989	Candidatus Competibacter sp.
PRJNA1071982	MFD10520_ilm_asm_bin29	LIB-MJ305-H8_04.29	GCA_049288935.1	JBAQIQ000000000	SAMN40010205	Candidatus Competibacteraceae bacterium
PRJNA1071982	MFD10518_ilm_asm_bin19	LIB-MJ305-F8_04.19	GCA_049290615.1	JBATNZ000000000	SAMN40010121	Candidatus Contendobacter sp.
PRJNA1071982	MFD10515_ilm_asm_bin15	LIB-MJ305-C8_04.15	GCA_049293375.1	JBATSQ000000000	SAMN40010000	Candidatus Contendobacter sp.
PRJNA1071982	MFD12019_ilm_asm_bin22	LIB-MJ334-C12_01.22	GCA_049299835.1	JBAQYC000000000	SAMN40010402	Candidatus Cryosericum sp.
PRJNA1071982	MFD02465_ilm_asm_bin2	LIB-MJ129-B2_02.2	GCA_049705085.1	JBAVXP000000000	SAMN40008361	Candidatus Cybelea sp.
PRJNA1071982	MFD02481_ilm_asm_bin4	LIB-MJ137-F4_02.4	GCA_049694735.1	JBAVRD000000000	SAMN40008529	Candidatus Cybelea sp.
PRJNA1071982	MFD00904_ilm_asm_bin39	LIB-MJ134-C6_03.39	GCA_049695635.1	JBAVSO000000000	SAMN40008492	Candidatus Cybelea sp.
PRJNA1071982	MFD03947_ilm_asm_bin18	LIB-MJ132-H6_03.18	GCA_049696515.1	JBAVTZ000000000	SAMN40008455	Candidatus Cybelea sp.
PRJNA1071982	MFD02469_ilm_asm_bin11	LIB-MJ150-H9_03.11	GCA_049689935.1	JBAVMJ000000000	SAMN40008653	Candidatus Cybelea sp.
PRJNA1071982	MFD10831_ilm_asm_bin6	LIB-MJ384-H4_01.6	GCA_049674425.1	JBATZC000000000	SAMN40011432	Candidatus Cybelea sp.
PRJNA1071982	MFD10867_ilm_asm_bin33	LIB-MJ383-F4_01.33	GCA_049676465.1	JBAUBE000000000	SAMN40011378	Candidatus Cybelea sp.
PRJNA1071982	MFD10988_ilm_asm_bin17	LIB-MJ383-H6_01.17	GCA_049675485.1	JBAUAG000000000	SAMN40011402	Candidatus Cybelea sp.
PRJNA1071982	MFD10888_ilm_asm_bin25	LIB-MJ383-G7_01.25	GCA_049676045.1	JBAUAV000000000	SAMN40011387	Candidatus Cybelea sp.
PRJNA1071982	MFD10734_ilm_asm_bin52	LIB-MJ383-H10_01.52	GCA_049675705.1	JBAUAM000000000	SAMN40011396	Candidatus Cybelea sp.
PRJNA1071982	MFD10807_ilm_asm_bin26	LIB-MJ383-C2_01.26	GCA_049677405.1	JBAUCE000000000	SAMN40011352	Candidatus Cybelea sp.
PRJNA1071982	MFD10929_ilm_asm_bin14	LIB-MJ383-B8_01.14	GCA_049677465.1	JBAUCH000000000	SAMN40011349	Candidatus Cybelea sp.
PRJNA1071982	MFD10935_ilm_asm_bin26	LIB-MJ381-B11_02.26	GCA_049678665.1	JBAUEP000000000	SAMN40011289	Candidatus Cybelea sp.
PRJNA1071982	MFD10864_ilm_asm_bin9	LIB-MJ380-B1_03.9	GCA_049679105.1	JBAUFK000000000	SAMN40011268	Candidatus Cybelea sp.
PRJNA1071982	MFD11067_ilm_asm_bin5	LIB-MJ382-D2_02.5	GCA_049679705.1	JBAUDD000000000	SAMN40011327	Candidatus Cybelea sp.
PRJNA1071982	MFD06083_ilm_asm_bin22	LIB-MJ337-G9_03.22	GCA_049802355.1	JBARMH000000000	SAMN40010832	Candidatus Cybelea sp.
PRJNA1071982	MFD06508_ilm_asm_bin11	LIB-MJ337-F9_03.11	GCA_049802555.1	JBARMR000000000	SAMN40010822	Candidatus Cybelea sp.
PRJNA1071982	MFD06234_ilm_asm_bin80	LIB-MJ339-C9_03.80	GCA_049800555.1	JBARKA000000000	SAMN40010891	Candidatus Cybelea sp.
PRJNA1071982	MFD06234_ilm_asm_bin105	LIB-MJ339-C9_03.105	GCA_049800655.1	JBARKF000000000	SAMN40010886	Candidatus Cybelea sp.
PRJNA1071982	MFD06679_ilm_asm_bin12	LIB-MJ343-D6_01.12	GCA_049797375.1	JBARFQ000000000	SAMN40011005	Candidatus Cybelea sp.
PRJNA1071982	MFD10791_ilm_asm_bin58	LIB-MJ352-G2_03_v_LIB-MJ368-G2_01.58	GCA_049792055.1	JBARAO000000000	SAMN40011137	Candidatus Cybelea sp.
PRJNA1071982	MFD06188_ilm_asm_bin9	LIB-MJ346-E6_02_v_LIB-MJ365-E6_04.9	GCA_049794875.1	JBARDG000000000	SAMN40011067	Candidatus Cybelea sp.
PRJNA1071982	MFD05621_ilm_asm_bin29	LIB-MJ175-A8_02_v_LIB-MJ368-A8_01.29	GCA_049592835.1	JBAWGL000000000	SAMN40008765	Candidatus Cybelea sp.
